aa_objects.object_number,aa_tracks.track_num,aa_detections.image_file,aa_detections.mid_det_utc,aa_detections.mid_det_et,aa_detections.ra,aa_detections.dec,aa_detections.ra_sig,aa_detections.dec_sig,aa_detections.mag,aa_detections.mag_sig,aa_detections.snr,aa_detections.psf_fit_quality,aa_detections.is_saturated,aa_detections.q_code,aa_detections.possible_hot_pixel,aa_detections.possible_star,aa_detections.occulting
3,32,20190119T003334S941_ncm_L0.fits,2019-01-19T00:33:37.441Z,601130086.625432,220.700787783786,36.462856344057,0.0034230024516520804,0.00272876123354682,4.66437378280049,0.128653802936564,10.027165061034001,0.685057512070779,0,4,0,0,0
3,32,20190119T002618S910_ncm_L0.fits,2019-01-19T00:26:21.410Z,601129650.594432,222.06643557849702,37.12856298434539,0.0042972165667368506,0.0034619184655822303,4.7732416115579195,0.142183196871234,8.75225214645006,0.9987777565390841,0,4,0,0,0
3,32,20190119T000335S104_ncm_L0.fits,2019-01-19T00:03:37.604Z,601128286.788431,226.33029892574402,39.8384639953162,0.00349791927746058,0.0027574956669409404,4.577447778546369,0.127590309262488,10.1457765655366,0.867445691404902,0,4,0,0,0
3,32,20190118T235618S936_ncm_L0.fits,2019-01-18T23:56:21.436Z,601127850.620431,227.64035791662602,40.90971397524849,0.003409824304666,0.0029050522966850402,4.581294068322309,0.12860386087665301,10.0326639725449,0.8261879714277109,0,4,0,0,0
3,32,20190118T233335S083_ncm_L0.fits,2019-01-18T23:33:37.583Z,601126486.767431,231.45688838314203,45.0525601824126,0.0038754551017155504,0.00254341641745731,4.3710800134467505,0.12156858612866901,10.883816092070399,1.1779856098855699,0,5,0,0,0
3,32,20190118T232618S813_ncm_L0.fits,2019-01-18T23:26:21.313Z,601126050.497431,232.491538602665,46.6085348542226,0.003351613002849,0.00232493775101727,4.308741615963659,0.11483526197255801,11.874974240593,1.28536143400035,0,5,0,0,0
3,32,20190118T230335S328_ncm_L0.fits,2019-01-18T23:03:37.828Z,601124687.01243,234.764890401549,52.119505176066596,0.00476850539255937,0.0031702411735723703,4.36043623465465,0.135104117620308,9.370287810919208,1.95003103531078,0,4,0,0,0
3,32,20190118T225618S910_ncm_L0.fits,2019-01-18T22:56:21.410Z,601124250.59443,234.99866335902402,53.987120339524495,0.00433228229131445,0.0025805277653065503,4.2766968508388095,0.12279948387735701,10.7229560022098,1.32167434360325,0,5,0,0,0
3,32,20190118T223334S967_ncm_L0.fits,2019-01-18T22:33:37.467Z,601122886.65143,233.63547922423402,59.564157478346395,0.0042117861111341595,0.00213880465851864,4.32531895031069,0.108620805946504,13.004174618524099,1.34765135617183,0,5,0,0,0
3,32,20190118T222619S065_ncm_L0.fits,2019-01-18T22:26:21.565Z,601122450.749429,232.39266614035702,61.063298125965794,0.00371313422614368,0.00181132841036984,4.147264287866959,0.0969279221557667,16.065706032426597,1.35734672459154,0,5,0,0,0
3,38,20190118T130334S907_ncm_L0.fits,2019-01-18T13:03:37.407Z,601088686.591418,281.89498953757,59.9150510844622,0.0040843400835532204,0.0019546494705521304,4.41970267208639,0.106735581906533,13.4002861434826,0.754269674160998,0,5,0,0,0
